NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
800000,3/20/17,Barclays Bank PLC,Buy,(0.250,Kingdom of Sweden,(464,12622,12158,0000927972,N-CSRS,12
1065000,3/20/17,Goldman Sachs & Co.,Buy,(1.000,UK Treasury Bond,(862,"(18,113","(18,975",0000927972,N-CSRS,12
10675000,6/20/17,Goldman Sachs & Co.,Buy,(1.000,CDX.NA.IG.18,"(39,534",15089,"(24,445",0000927972,N-CSRS,12
2300000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(31,286",120756,89470,0000927972,N-CSRS,12
3130000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(58,227",179984,121757,0000927972,N-CSRS,12
6600000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(222,145",478885,256740,0000927972,N-CSRS,12
2600000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(87,367",188507,101140,0000927972,N-CSRS,12
1075000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(28,057",69875,41818,0000927972,N-CSRS,12
3200000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(35,529",160009,124480,0000927972,N-CSRS,12
3250000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(52,334",178759,126425,0000927972,N-CSRS,12
1500000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(91,650",150000,58350,0000927972,N-CSRS,12
5100000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(294,735",493125,198390,0000927972,N-CSRS,12
1650000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(35,503",99688,64185,0000927972,N-CSRS,12
2000000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(17,200",95000,77800,0000927972,N-CSRS,12
