Counterparty,Reference   Entity/Obligation,Buy/Sell   Protection,(Pay)/   Receive   Fixed   Rate (%),Termination   Date,Notional Amount(2),Fair   Value(3),Upfront   Payments   Paid/   (Received),Unrealized   Appreciation/   (Depreciation),CIK,Reporting Type,Report Year
"Citigroup, Inc.",MBIA Inc.,Buy,(5.000),09/20/13,"1,311,000","98,445","61,047","37,398",0001066602,N-Q,13
"Citigroup, Inc.",MBIA Inc.,Buy,(5.000),09/20/13,"640,000","48,059","31,052","17,007",0001066602,N-Q,13
JPMorgan Chase & Co.,MBIA Inc.,Buy,(5.000),09/20/13,"5,079,000","381,392","128,708","252,684",0001066602,N-Q,13
