Counterparty,Referenced Entity,Buy/SellProtection,NotionalAmount,FixedRate,TerminationDate,UnrealizedAppreciation(Depreciation)(U.S. Dollars),CIK,Reporting Type,Report Year
Goldman Sachs,BorgWarner Inc.,Buy,"250,000",0.26,6/20/12,(265,0001071336,N-Q,07
Goldman Sachs,Ingersoll-Rand Company,Buy,"250,000",0.26,6/20/12,"1,934",0001071336,N-Q,07
Goldman Sachs,Computer Sciences Corporation,Buy,"250,000",0.67,6/20/12,526,0001071336,N-Q,07
