NotionalAmount,ExpirationDate,Counterparty,Receive(Pay)^,AnnualPremium,ImpliedCreditSpread (1),ReferenceEntity,MaximumPotentialAmount ofFuturePayments bythe FundUnder theContract (2),NetUnrealizedAppreciation/(Depreciation),CIK,Reporting Type,Report Year
"14,000,000",3/20/2014,Deutsche Bank AG,(Pay),1.70%,3.01,Republic of Italy,,"229,319",0000772129,N-CSR,12
"10,000,000",3/20/2019,Deutsche Bank AG,Receive,1.66%,4.54,Republic of Italy,"10,000,000","(1,438,164",0000772129,N-CSR,12
