Swap Counterparty   (Reference Entity),Notional   Amount2,Termination   Date,Periodic   Payments   Made   by the   Fund ,Market   Value3,Upfront   Premiums   Paid   (Received),Unrealized   Depreciation,CIK,Reporting Type,Report Year
BNP   Paribas (Markit CDX.NA.HY.17 Index),"$1,728,000",12/20/16,5.000% quarterly,"$   6,485","$  44,095","$  (37,610",0000895523,N-CSR,12
BNP   Paribas (Markit CDX.NA.HY.17 Index),"1,056,000",12/20/16,5.000% quarterly,"3,963","28,118","(24,155",0000895523,N-CSR,12
BNP   Paribas (Markit CDX.NA.HY.18 Index),"4,950,000",6/20/17,5.000% quarterly,"84,352","215,212","(130,860",0000895523,N-CSR,12
Morgan   Stanley & Co. Inc. (Markit CDX.NA.HY.17 Index),"2,016,000",12/20/16,5.000% quarterly,"7,566","55,917","(48,351",0000895523,N-CSR,12
