Entity,Counterparty,Credit Protection,Amount(000 s),Rate,Date,CIK,Reporting Type,Report Year
"Capmark Financial Group, Inc.",Goldman Sachs Bank USA,Sell,890.0,0.95,6/20/12,0000729968,N-CSR,09
"CDX North America Investment Grade Index, Series 7",Deutsche Bank AG,Buy,3514.0,0.4,12/20/11,0000729968,N-CSR,09
"Countrywide Home Loans, Inc.","Morgan Stanley Capital Services, Inc.",Sell,3180.0,0.42,6/20/09,0000729968,N-CSR,09
"Morgan Stanley Capital
Services, Inc.",Buy,1055,0.7,3/20/17,107037,0000729968,N-CSR,09
"Morgan Stanley Capital
Services, Inc.",Buy,1065,0.63,3/20/17,112832,0000729968,N-CSR,09
