Reference Entity/Obligation,Buy/Sell Protection,(Pay)/ Receive Fixed Rate (%),Clearinghouse,Termination Date,Notional Amount(2),Fair Value(3),Unrealized Appreciation/ (Depreciation),CIK,Reporting Type,Report Year
"CDX North American High Yield Index Series 23, Version 1",Sell,5.0,Chicago Mercantile Exchange,12/20/19,"1,101,678","73,592","3,084",0001039001,N-Q,16
"CDX North American High Yield Index Series 25, Version 1",Sell,5.0,Chicago Mercantile Exchange,12/20/20,"2,065,000","59,823","4,010",0001039001,N-Q,16
