"SWAP COUNTERPARTY AND
  REFERENCE OBLIGATION","BUY/SELL
  PROTECTION","NOTIONAL
  AMOUNT
  (000 S)","PAY/RECEIVE
  FIXED
  RATE","TERMINATION
  DATE","UNREALIZED
  APPRECIATION
  (DEPRECIATION)",CIK,Reporting Type,Report Year
Union Pacific Corp.,Buy,60000,0.2,"December 20, 2011",683,0000924394,N-Q,08
"Hartford Life, Inc.",Buy,130000,0.12,"December 20, 2011","5,687",0000924394,N-Q,08
"Motorola, Inc.",Buy,50000,0.15,"December 20, 2011","4,643",0000924394,N-Q,08
"Motorola, Inc.",Buy,90000,0.157,"December 20, 2011","8,336",0000924394,N-Q,08
"Tyco International, Ltd.",Buy,50000,0.43,"March 20, 2012","1,498",0000924394,N-Q,08
"Tyco International, Ltd.",Buy,25000,0.43,"March 20, 2012",747,0000924394,N-Q,08
Tyco Electronics,Buy,50000,0.43,"March 20, 2012","1,527",0000924394,N-Q,08
Tyco Electronics,Buy,25000,0.43,"March 20, 2012",765,0000924394,N-Q,08
Chubb Corp.,Buy,120000,0.1,"March 20, 2012","2,174",0000924394,N-Q,08
Covidien,Buy,50000,0.43,"March 20, 2012",,0000924394,N-Q,08
Covidien,Buy,25000,0.43,"March 20, 2012",,0000924394,N-Q,08
"Dell, Inc.",Buy,60000,0.22,"March 20, 2012","1,077",0000924394,N-Q,08
Eaton Corp.,Buy,40000,0.62,"March 20, 2013",303,0000924394,N-Q,08
Eli Lilly Co.,Buy,65000,0.3,"March 20, 2013",405,0000924394,N-Q,08
Eli Lilly Co.,Buy,20000,0.33,"March 20, 2013",97,0000924394,N-Q,08
