"
NotionalAmount","
ExpirationDate","
Description","
Net UnrealizedAppreciation(Depreciation)",CIK,Reporting Type,Report Year
"
1,000,000 ","
12/20/09","
Agreement with Barclays Bank PLC, ","
(5,333",0001317146,N-CSR,08
"
7,000,000 ","
10/12/52","
Agreement with Goldman Sachs & Co., dated 3/27/07 to pay 0.35% times the notional amount. The Fund receives payment only upon a default event of CMBX.NA.A.1.","
595,184",0001317146,N-CSR,08
"
1,125,000 ","
6/20/16","
Agreement with Credit Suisse Securities LLC, dated 8/09/06 to pay 0.58% times the notional amount. The Fund receives payment only upon a default event of Marriot International, Inc.","
31,028",0001317146,N-CSR,08
"
500,000 ","
9/20/11","
Agreement with Goldman Sachs & Co., dated 8/25/06 to pay 0.53% times the notional amount. The Fund receives payment only upon a default event of United Mexican States.","
1,161",0001317146,N-CSR,08
"
1,125,000 ","
9/20/14","
Agreement with Bank of America, dated 11/11/06 to pay 0.28% times the notional amount. The Fund receives payment only upon a default event of Washington Mutual, Inc. Note.","
181,063",0001317146,N-CSR,08
"
1,050,000 ","
6/20/17","
Agreement with Bear Stearns Bank PLC, dated 3/22/07 to pay 1.08% times the notional amount. The Fund receives payment only upon a default event of Brunswick Corp.","
18,844",0001317146,N-CSR,08
"
950,000 ","
6/20/17","
Agreement with Barclays Bank PLC, dated 5/05/07 to pay 0.85% times the notional amount. The Fund receives payment only upon a default event of Sara Lee Corp.","
(29,538",0001317146,N-CSR,08
"
925,000 ","
9/20/17","
Agreement with Goldman Sachs & Co., dated 7/13/07 to pay 0.66% times the notional amount. The Fund receives payment only upon a default event of Washington Mutual, Inc.","
140,581",0001317146,N-CSR,08
"
1,000,000 ","
9/20/12","
Agreement with Bear Stearns Bank PLC, dated 8/21/07 to pay 0.65% times the notional amount. The Fund receives payment only upon a default event of Brunswick Corp.","
24,075",0001317146,N-CSR,08
"
500,000 ","
9/20/17","
Agreement with Credit Suisse Securities LLC, dated 8/31/07 to pay 1.05% times the notional amount. The Fund receives payment only upon a default event of Brunswick Corp.","
12,456",0001317146,N-CSR,08
"
1,176,000","
6/20/12","
Agreement with JP Morgan Chase, dated 5/23/07 to pay 1.20% times the notional amount. The Fund receives payment only upon a default event of LCDX.NA.8.","
(16,455",0001317146,N-CSR,08
"
2,450,000 ","
10/12/52","
Agreement with Goldman Sachs & Co., dated 10/17/07 to pay 0.76% times the notional amount. The Fund receives payment only upon a default event of CMBX.NA.BBB.1.","
209,867",0001317146,N-CSR,08
