"
SWAP COUNTERPARTY & REFERENCE OBLIGATION
","
PROTECTION
","
NOTIONAL AMOUNT(000 S)
","
FIXED RATE
","
DATE
","
(DEPRECIATION)
",CIK,Reporting Type,Report Year
"
Dow Jones CDX.NA.IG.HVOL.6
","
Buy
","
2,200
000",0.75,"
June
  20, 2011
","
3,003
",0000839302,N-Q,07
"
Dow Jones CDX.NA.IG.HVOL.7
","
Buy
","
1,000
000",0.75,"
December
  20, 2011
","
882
",0000839302,N-Q,07
"
Group, Inc.
","
Buy
","
550
000",0.12,"
December
  20, 2011
","
(193
",0000839302,N-Q,07
"
Motorola, Inc.
","
Buy
","
180
000",0.15,"
December
  20, 2011
","
1,037
",0000839302,N-Q,07
"
Motorola, Inc.
","
Buy
","
360
000",0.157,"
December
  20, 2011
","
1,971
",0000839302,N-Q,07
"
Southwest Airlines Co.
","
Buy
","
550
000",0.22,"
December
  20, 2011
","
3,189
",0000839302,N-Q,07
"
Union Pacific Corp.
","
Buy
","
265
000",0.2,"
December
  20, 2011
","
989
",0000839302,N-Q,07
"
Tyco International Ltd.
","
Buy
","
160
000",0.43,"
March
  20, 2012
","
1,170
",0000839302,N-Q,07
"
Tyco International Ltd.
","
Buy
","
310
000",0.43,"
March
  20, 2012
","
2,267
",0000839302,N-Q,07
"
Chubb Corp.
","
Buy
","
510
000",0.1,"
March
  20, 2012
","
390
",0000839302,N-Q,07
"
Dell Inc.
","
Buy
","
255
000",0.22,"
March
  20, 2012
","
(291
",0000839302,N-Q,07
"
Gap, Inc.
","
Buy
","
300
000",1.19,"
March
  20, 2012
","
(3,850
",0000839302,N-Q,07
"
SLM Corp.
","
Sell
","
500
000",0.737,"
June
  20, 2012
","
(21,715
",0000839302,N-Q,07
"
Residential Capital, LLC
","
Sell
","
510
000",2.0,"
March
  20, 2017
","
7,760
",0000839302,N-Q,07
