Counterparty,Reference Entity,Protection,Fixed Rate,Amount,Date,Appreciation,CIK,Reporting Type,Report Year
"

    Goldman Sachs & Co.
",Dow Jones CDXNorth AmericanHigh Yield 100 6th IndexEffective: 3128106,Sell,3.45%,11200000,6/20/2011,136622,0001040587,N-CSR,06
"

    Bear Stearns & Co., Inc.
",Dow Jones CDXNorth AmericanHigh Yield 100 6th IndexEffective: 3128106,Sell,3.45%,5000000,6/20/2011,62650,0001040587,N-CSR,06
