"
Counterparty (Issuer)","
Reference Entity","
Fixed Rate","
Expiration Date","
Notional Amount",CIK,Reporting Type,Report Year
"
Barclays Bank PLC","
CDX.EM.21","
(5.00","
06/20/2019","
3,000",0000012601,N-CSRS,14
"
Barclays Bank PLC","
CDX.EM.21","
(5.00","
06/20/2019","
3,000",0000012601,N-CSRS,14
"
CDX.NA.HY.22","
(5.00","
06/20/2019","
2,970","
(257",0000012601,N-CSRS,14
"
CDX.NA.HY.22","
(5.00","
06/20/2019","
6,633","
(575",0000012601,N-CSRS,14
