"
Notional Amount","
Expiration Date","
Counterparty","
Receive(Pay)","
Annual Premium","
Deliverable On Default","
MarketValue",CIK,Reporting Type,Report Year
"
10,000,000","
4/20/2015","
JP Morgan ","
Receive",4.65,"
Republic of Colombia","
",0000772129,N-CSRS,07
"
15,000,000","
5/20/2015","
Deutsche Bank AG","
Receive",3.85,"
Republic of Turkey","
1,325,729",0000772129,N-CSRS,07
"
56,950,000,000","
11/20/2015","
Citigroup","
Receive",1.81,"
Republic of Colombia","
876,154",0000772129,N-CSRS,07
"
15,000,000","
2/20/2016","
Citigroup","
(Pay)",2.16,"
Republic of Colombia","
(406,423",0000772129,N-CSRS,07
"
56,700,000,000","
2/20/2016","
Citigroup","
Receive",1.46,"
Republic of Colombia","
270,706",0000772129,N-CSRS,07
"
25,000,000","
4/20/2016","
Citigroup","
(Pay)",1.9,"
Republic of Colombia","
(399,401",0000772129,N-CSRS,07
"
114,800,000,000","
4/20/2016","
Citigroup","
Receive",1.33,"
Republic of Colombia","
399,225",0000772129,N-CSRS,07
"
22,000,000","
8/20/2016","
JP Morgan ","
Receive",1.99,"
Republic of BrazilChase Bank","
914,584",0000772129,N-CSRS,07
"
40,000,000","
8/20/2016","
Lehman Brothers","
Receive",1.98,"
Republic of Brazil","
1,649,189",0000772129,N-CSRS,07
"
20,000,000","
8/20/2016","
Citigroup","
(Pay)",2.15,"
Republic of Colombia","
(495,080",0000772129,N-CSRS,07
"
97,680,000,000","
8/20/2016","
Citigroup","
Receive",1.51,"
Republic of Colombia","
526,928",0000772129,N-CSRS,07
"
20,000,000","
8/20/2016","
Deutsche Bank AG","
(Pay)",0.87,"
United Mexican States","
(204,008",0000772129,N-CSRS,07
"
620,000,000","
8/20/2016","
Deutsche ","
Receive",0.61,"
United Mexican StatesBank AG","
230,919",0000772129,N-CSRS,07
"
87,500,000","
2/20/2017","
Deutsche Bank AG","
Receive",2.43,"
Bolivarian Republic of Venezuela","
(13,253,021",0000772129,N-CSRS,07
"
350,000,000","
2/20/2017","
Deutsche Bank AG","
(Pay)",7.66,"
Bolivarian Republic of Venezuela","
5,550,121",0000772129,N-CSRS,07
"
50,000,000","
3/20/2017","
Lehman Brothers","
Receive",1.41,"
Republic of Brazil","
333,990",0000772129,N-CSRS,07
"
2,500,000","
5/20/2017","
Deutsche Bank AG","
(Pay)",1.05,"
Republic of Peru","
66,514",0000772129,N-CSRS,07
"
32,000,000","
5/20/2017","
Deutsche Bank AG","
Receive",0.79,"
Republic of Peru","
(189,740",0000772129,N-CSRS,07
"
70,000,000","
7/20/2017","
Lehman Brothers","
Receive",3.15,"
Bolivarian Republic of Venezuela","
(7,754,360",0000772129,N-CSRS,07
"
4,500,000","
7/20/2017","
Bear Stearns","
Receive",3.3,"
Republic of Jamaica","
(245,867",0000772129,N-CSRS,07
"
15,000,000","
7/20/2017","
Lehman Brothers","
Receive",1.04,"
Republic of Panama","
(617,849",0000772129,N-CSRS,07
"
70,000,000","
7/20/2017","
Lehman Brothers","
Receive",2.2,"
Republic of Turkey","
(2,613,498",0000772129,N-CSRS,07
"
35,000,000","
7/20/2017","
Lehman Brothers","
Receive",2.26,"
Republic of Turkey","
(1,169,664",0000772129,N-CSRS,07
"
35,000,000","
7/20/2017","
UBS AG","
Receive",2.26,"
Republic of Turkey","
(1,169,664",0000772129,N-CSRS,07
