SWAP COUNTERPARTY& REFERENCE,BUY/SELLPROTECTION,NOTIONALAMOUNT(000),INTERESTRATE,TERMINATIONDATE,UNREALIZEDAPPRECIATION(DEPRECIATION),UPFRONTPAYMENTS,VALUE,CREDITRATING OFREFERENCEOBLIGATION ,CIK,Reporting Type,Report Year
"Alcoa, Inc.",Buy,850000,1.0,9/20/18,"(17,090","88,874","71,784",BBB-,0000716716,N-Q,13
Quest Diagnostics Inc.,Buy,845000,1.0,12/20/18,"(5,915",   ,"(5,915",BBB+,0000716716,N-Q,13
CDX.NA.IG.20,Sell,"1,700000",1.0,6/20/18,"11,981","9,390","21,371",NR,0000716716,N-Q,13
Kohl s Corporation,Buy,950000,1.0,6/20/18,"(41,777","53,992","12,215",BBB+,0000716716,N-Q,13
CDX.NA.IG.20,Sell,385000,1.0,6/20/18,325,"4,515","4,840",NR,0000716716,N-Q,13
CDX.NA.IG.20,Sell,845000,1.0,6/20/18,"10,472",25,"10,497",NR,0000716716,N-Q,13
