SWAP COUNTERPARTY,BUY/SELLPROTECTION,NOTIONALAMOUNT(000),INTERESTRATE,TERMINATIONDATE,UNREALIZEDAPPRECIATION(DEPRECIATION),UPFRONTPAYMENTS,VALUE,CREDITRATING OFREFERENCEOBLIGATION ,CIK,Reporting Type,Report Year
"Alcoa, Inc.",Buy,250000,1.0,9/20/18,"(5,026","26,140","21,114",BBB-,0000716716,N-Q,13
Quest Diagnostics Inc.,Buy,250000,1.0,12/20/18,"(1,750",   ,"(1,750",BBB+,0000716716,N-Q,13
CDX.NA.IG.20,Sell,600000,1.0,6/20/18,"4,228","3,314","7,542",NR,0000716716,N-Q,13
Kohl s Corporation,Buy,250000,1.0,6/20/18,"(10,994","14,208","3,214",BBB+,0000716716,N-Q,13
CDX.NA.IG.20,Sell,110000,1.0,6/20/18,93,"1,290","1,383",NR,0000716716,N-Q,13
CDX.NA.IG.20,Sell,250000,1.0,6/20/18,"3,098","3,105",NR,,0000716716,N-Q,13
