NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
"17,000,000",12/20/17,JP Morgan Chase Bank,Buy,(1.000,CDX.NA.IG.19 ,"(98,109","73,364","(24,745",0000927972,N-Q,13
"4,750,000",6/20/17,Barclays Bank PLC,Buy,(1.000,CDX.NA.IG.18 ,"(69,831","44,871","(24,960",0000927972,N-Q,13
"1,125,000",6/20/16,Credit Suisse Securities LLC,Buy,(0.580,"Marriott International, Inc.","1,272",-,"1,272",0000927972,N-Q,13
"1,980,000",6/20/17,Goldman Sachs & Co.,Buy,(5.000,CDX.NA.HY.18 ,"(103,654","95,287","(8,367",0000927972,N-Q,13
"4,950,000",6/20/17,Goldman Sachs & Co.,Buy,(5.000,CDX.NA.HY.18 ,"(153,948","133,031","(20,917",0000927972,N-Q,13
"74,344",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1 ,"(3,904","5,390","1,486",0000927972,N-Q,13
"396,503",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1 ,"(30,408","38,338","7,930",0000927972,N-Q,13
"436,153",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1 ,"(19,627","28,350","8,723",0000927972,N-Q,13
"569,973",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1 ,"(15,674","27,074","11,400",0000927972,N-Q,13
"1,200,000",12/20/17,JP Morgan Chase Bank,Buy,(1.000,CDX.NA.IG.19 ,"(6,925","5,179","(1,746",0000927972,N-Q,13
"590,000",6/20/17,Barclays Bank PLC,Buy,(1.000,CDX.NA.IG.18 ,"(8,674","5,574","(3,100",0000927972,N-Q,13
"180,000",6/20/16,Credit Suisse Securities LLC,Buy,(0.580,"Marriott International, Inc.",203,-,203,0000927972,N-Q,13
"1,050,000",6/20/17,Goldman Sachs & Co.,Buy,(1.000,CDX.NA.IG.18 ,"(7,002","1,484","(5,518",0000927972,N-Q,13
"64,432",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1 ,"(2,255","3,544","1,289",0000927972,N-Q,13
"313,237",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1 ,"(24,023","30,288","6,265",0000927972,N-Q,13
"74,344",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1 ,"(3,345","4,832","1,487",0000927972,N-Q,13
"123,907",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1 ,"(3,407","5,885","2,478",0000927972,N-Q,13
"400,000",12/20/17,JP Morgan Chase Bank,Buy,(1.000,CDX.NA.IG.19 ,"(2,308","1,726",(582,0000927972,N-Q,13
