"
SWAPCOUNTERPARTY & REFERENCE OBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000)","
INTERESTRATE","
TERMINATIONDATE","
UNREALIZEDDEPRECIATION",CIK,Reporting Type,Report Year
"
Barclays Bank PLCQuest Diagnostics, Inc.",Buy,795,1.0,03/20/19,"(29,148",0000093284,N-CSRS,17
"
Morgan Stanley & Co., LLC*CDX.NA.HY.27",Buy,1361,5.0,12/20/21,"(52,617",0000093284,N-CSRS,17
"
Barclays Bank PLCQuest Diagnostics, Inc.","
Buy","
795",1.0,"
3/20/19","(29,148
",0000093284,N-CSRS,17
"
Morgan Stanley & Co., LLC*CDX.NA.HY.27","
Buy","
1,361",5.0,"
12/20/21","
(52,617",0000093284,N-CSRS,17
