"
SWAP COUNTERPARTY & REFERENCE OBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000)","
INTERESTRATE","
TERMINATIONDATE","
UNREALIZEDAPPRECIATION(DEPRECIATION)","
UPFRONTPAYMENTS",VALUE,"
CREDITRATING OFREFERENCEOBLIGATION ",CIK,Reporting Type,Report Year
"
Barclays Bank Alcoa, Inc.",Buy,400000,1,9/20/18,"(19,637",41823,22186,BBB-,0000882381,N-CSR,14
"
Barclays BankYum! Brands, Inc.",Buy,400000,1,12/20/18,"(1,346","(6,942","(8,288",BBB,0000882381,N-CSR,14
"
Barclays BankQuest Diagnostics Inc.",Buy,395000,1,12/20/18,3446,3446,,BBB+,0000882381,N-CSR,14
"
JPMorgan ChaseCDX.NA.IG.20",Sell,2000000,1,6/20/18,23326,11046,34372,NR,0000882381,N-CSR,14
"
JPMorgan ChaseCDX.NA.IG.20",Sell,180000,1,6/20/18,982,2111,3093,NR,0000882381,N-CSR,14
"
JPMorgan ChaseKohl's Corporation",Buy,475000,1,6/20/18,"(25,652",26996,1344,BBB+,0000882381,N-CSR,14
"
Morgan Stanley & Co., LLC*CDX.NA.IG.20",Sell,395000,1,6/20/18,6728,12,6740,NR,0000882381,N-CSR,14
"
Morgan Stanley & Co., LLC*CDX.NA.IG.21",Sell,400000,1,12/20/18,97,5699,5796,NR,0000882381,N-CSR,14
