"
SWAP COUNTERPARTY &REFERENCE OBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000'S)","
PAY/RECEIVEFIXED RATE","
TERMINATIONDATE","
UNREALIZEDAPPRECIATION(DEPRECIATION)",CIK,Reporting Type,Report Year
"
Goldman Sachs Capital Markets, L.P. Dow Jones CDX.NA.IG.HVOL.6","
Buy","
2,200000",0.75,"
June 20, 2011","
(4,769",0000839302,N-CSR,07
"
Goldman Sachs International Dow Jones CDX.NA.IG.HVOL.7","
Buy","
1,000000",0.75,"
December 20, 2011","
1,400",0000839302,N-CSR,07
"
Goldman Sachs InternationalHartford Financial ServicesGroup, Inc.","
Buy","
550000",0.12,"
December 20, 2011","
(342",0000839302,N-CSR,07
"
Goldman Sachs InternationalLehman Brothers Holdings Inc.","
Buy","
550000",0.2,"
December 20, 2011","
2,775",0000839302,N-CSR,07
"
Goldman Sachs InternationalMotorola, Inc.","
Buy","
180000",0.15,"
December 20, 2011","
1,806",0000839302,N-CSR,07
"
Goldman Sachs InternationalMotorola, Inc.","
Buy","
360000",0.157,"
December 20, 2011","
3,503",0000839302,N-CSR,07
"
Goldman Sachs InternationalSouthwest Airlines Co.","
Buy","
550000",0.22,"
December 20, 2011","
1,825",0000839302,N-CSR,07
"
Goldman Sachs InternationalUnion Pacific Corp.","
Buy","
530000",0.2,"
December 20, 2011","
1,415",0000839302,N-CSR,07
"
Citibank, N.A., New YorkTyco International Ltd.","
Buy","
160000",0.43,"
March 20, 2012","
206",0000839302,N-CSR,07
"
Citibank, N.A., New YorkTyco International Ltd.","
Buy","
310000",0.43,"
March 20, 2012","
106",0000839302,N-CSR,07
"
Goldman Sachs InternationalChubb Corp.","
Buy","
510000",0.1,"
March 20, 2012","
0",0000839302,N-CSR,07
"
Goldman Sachs InternationalDell Inc.","
Buy","
255000",0.22,"
March 20, 2012","
(114",0000839302,N-CSR,07
