Counterparty,Entity,Protection,Rate,Date,Amount(000),CIK,Reporting Type,Report Year
Goldman Sachs International,Calpine Corp.,Sell,5.0,03/20/11,2000,0001059386,N-Q,10
Goldman Sachs International,Texas Competitive Electric Holdings Co. LLC,Sell,2.85,06/20/10,5000,0001059386,N-Q,10
Goldman Sachs International,Texas Competitive Electric Holdings Co. LLC,Sell,5.0,06/20/10,3000,0001059386,N-Q,10
Goldman Sachs International,Texas Competitive Electric Holdings Co. LLC,Sell,5.0,03/20/12,5000,0001059386,N-Q,10
