Counterparty (Issuer),Reference Entity,(Pay)/ReceiveFixed Rate,ExpirationDate,NotionalAmount,Fair Value ,UpfrontPremiumsPaid/(Received),UnrealizedAppreciation/(Depreciation),CIK,Reporting Type,Report Year
Barclays Bank PLC,CDX.EM.20,(5.00,12/20/2018,3000,(263,(245,(18,0000012601,N-Q,14
Barclays Bank PLC,CDX.NA.HY.20,(5.00,06/20/2018,250,(22,(11,(11,0000012601,N-Q,14
CDX.NA.HY.20,(5.00,06/20/2018,7000,(614,(416,,,0000012601,N-Q,14
