Reference Obligations,FundPays,Counterparty,ExpirationDate,NotionalPrincipal(000s),Value(000s),CIK,Reporting Type,Report Year
Republic of South,(1.00,Barclays,Dec-17,"  13,700",414,0000885709,N-Q,13
Republic of South,(1.00,Barclays,Dec-17,"8,900",269,0000885709,N-Q,13
