"
(Issuer) ","
Entity ","
Fixed Rate ","
Date ","
Amount(1) ","
Value(2) ","
Paid/(Received) ","
(Depreciation) ",CIK,Reporting Type,Report Year
"
Deutsche Bank AG ","
CMBX.NA.AM4 ","
0.50% ","
02/17/2051 ","
$1,750 ","
$ (359) ","
$ 393 ","
$34 ",0000898745,N-CSR,10
"
Goldman Sachs ","
CMBX.NA.AJ4 ","
0.96 ","
02/17/2051 ","
1,750 ","
(743) ","
787 ","
44 ",0000898745,N-CSR,10
