SWAP COUNTERPARTY & REFERENCE OBLIGATION,PROTECTION,(000 s),RATE,DATE,(DEPRECIATION),CIK,Reporting Type,Report Year
"DJ CDX, N.A.",Sell,800000,1.4,"December 20, 2012",3800,0000882381,N-Q,08
"DJ CDX, N.A.",Sell,300000,1.4,"December 20, 2012",7158,0000882381,N-Q,08
"DJ CDX, N.A.",Sell,900000,5.0,"June 20, 2013","(26,592",0000882381,N-Q,08
"DJ CDX, N.A.",Sell,835000,5.0,"June 20, 2013",2988,0000882381,N-Q,08
"DJ CDX, N.A.",Sell,3812000,3.75,"December 20, 2012","(114,441",0000882381,N-Q,08
