COUNTERPARTY & REFERENCE OBLIGATION,BUY/SELL PROTECTION,NOTIONAL AMOUNT(000 s),INTEREST RATE,TERMINATION DATE,APPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
"Bank of America, N.A
Carnival Corp.",Buy,605000,1.57,"March 20, 2018","(28,898",0000093284,N-Q,10
"Bank of America, N.A.
Centurytel, Inc.",Buy,395000,0.88,"September 20, 2017",4958,0000093284,N-Q,10
Goldman Sachs International Sealed Air Corp.,Buy,250000,1.08,"March 20, 2018",1638,0000093284,N-Q,10
"Bank of America, N.A.

Toll Brothers Inc.",Buy,770000,2.9,"March 20, 2013","(41,584",0000093284,N-Q,10
"Bank of America, N.A.

Tyco Electronics Ltd.",Buy,385000,5.0,"June 20, 2014","(55,528",0000093284,N-Q,10
"Barclays Capital 
Whirlpool Corp.",Buy,250000,0.251,"June 20, 2014","(13,097",0000093284,N-Q,10
