"
Notional Amount","
Expiration Date","
Counterparty","
Receive(Pay)","
Annual Premium","
Deliverable On Default","
MarketValue",CIK,Reporting Type,Report Year
"
15,000,000","
12/15/2013","
Goldman Sachs","
(Pay)",0.42,"
TransAlta Corp.","
312,161",0000772129,N-CSRS,07
"
5,000,000","
3/20/2014","
Morgan Stanley","
(Pay)",0.15,"
Wyeth","
48,636",0000772129,N-CSRS,07
"
10,000,000","
9/30/2014","
Goldman Sachs","
(Pay)",0.74,"
Telecom Italia Capital","
(27,863",0000772129,N-CSRS,07
"
10,000,000","
2/20/2015","
JP MorganChase Bank","
(Pay)",0.61,"
Telefonos de MexicoSA de CV","
10,660",0000772129,N-CSRS,07
"
5,000,000","
11/1/2015","
Goldman Sachs","
(Pay)",0.62,"
RPM UK","
11,826",0000772129,N-CSRS,07
"
15,000,000","
12/20/2015","
Barclays Bank PLC","
(Pay)",0.73,"
Boston Scientific Corp.","
1,569,206",0000772129,N-CSRS,07
"
5,000,000","
12/20/2015","
Morgan Stanley","
(Pay)",0.81,"
Boston Scientific Corp.","
498,308",0000772129,N-CSRS,07
"
7,000,000","
9/20/2016","
Barclays Bank PLC","
(Pay)",0.32,"
CVS Corp.","
170,390",0000772129,N-CSRS,07
"
5,000,000","
12/20/2016","
Morgan Stanley","
(Pay)",0.46,"
Ryder System, Inc., MTN","
44,298",0000772129,N-CSRS,07
"
10,000,000","
12/20/2016","
Barclays Bank PLC","
(Pay)",0.72,"
Southwest Airlines","
42,586",0000772129,N-CSRS,07
"
10,000,000","
2/1/2017","
Goldman Sachs","
(Pay)",0.49,"
Kinder Morgan Energy Partners LP","
242,900",0000772129,N-CSRS,07
"
5,000,000","
7/15/2018","
Goldman Sachs","
(Pay)",0.93,"
Spectra Energy Capital","
(44,826",0000772129,N-CSRS,07
"
10,000,000","
1/20/2024","
Goldman Sachs","
(Pay)",1.11,"
Eastman Chemical Co.","
(226,089",0000772129,N-CSRS,07
