"SWAP
  COUNTERPARTY & REFERENCE
  OBLIGATION",PROTECTION,AMOUNT(000 S),RATE,DATE,APPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
Carnival Corp.,Buy,115000,1.57,"March 20, 2018",6643,0000924394,N-Q,09
Dow Jones Index,Sell,1400000,1.5,"December 20, 2012","(3,320",0000924394,N-Q,09
