Swap Counterparty and Reference Obligation,Buy/Sell Protection,Notional Amount,Pay/Receive Fixed Rate,Termination Date,CIK,Reporting Type,Report Year
Citigroup,Buy,200,0.43,3/20/2012,0000741375,N-Q,08
Goldman Sachs,Buy,750,0.12,12/20/2011,0000741375,N-Q,08
Goldman Sachs,Buy,250,0.15,12/20/2011,0000741375,N-Q,08
Goldman Sachs,Buy,500,0.16,12/20/2011,0000741375,N-Q,08
Goldman Sachs,Buy,730,0.1,3/20/2012,0000741375,N-Q,08
Goldman Sachs,Buy,350,0.22,3/20/2012,0000741375,N-Q,08
JPMorgan Chase,Buy,"1,100",0.65,3/20/2011,0000741375,N-Q,08
Lehman Brothers,Buy,375,0.2,12/20/2011,0000741375,N-Q,08
