Counterparty,Reference Entity,Protection,Fixed Rate,Date,Amount(000),CIK,Reporting Type,Report Year
Goldman Sachs International,Calpine Corp,Sell,5,3/20/2011,3000000,0000854904,N-Q,11
Goldman Sachs International,"Texas Competitive Electric Holdings Co, LLC",Sell,5,3/20/2012,3000000,0000854904,N-Q,11
