"Counterparty
","
amount",date,"
Fixed Rate",CIK,Reporting Type,Report Year
Credit Suisse International,400000,03/20/16,5,0000897996,N-CSR,11
Deutsche Bank AG,3300000,12/20/15,1,0000897996,N-CSR,11
Deutsche Bank AG,2600000,03/20/16,5,0000897996,N-CSR,11
Deutsche Bank AG,2950000,09/20/20,5,0000897996,N-CSR,11
