Underlying Instrument,Counterparty,Date,Amount,Rate(%),CIK,Reporting Type,Report Year
"Republic of
    Brazil",J.P.Morgan Chase Bank N.A.,9/20/16,550000,1,0000798290,N-CSR,15
Republic of Brazil,Barclays Bank PLC,6/20/18,300000,1,0000798290,N-CSR,15
"Republic of
    Brazil",J.P.Morgan Chase Bank N.A.,6/20/18,500000,1,0000798290,N-CSR,15
Republic of Brazil,Barclays Bank PLC,6/20/20,500000,1,0000798290,N-CSR,15
"Republic of
    Brazil","Barclays Bank
PLC",6/20/20,500000,1,0000798290,N-CSR,15
Republic of Brazil,Barclays Bank PLC,6/20/20,275000,1,0000798290,N-CSR,15
"Republic of
    Brazil","Barclays Bank
PLC",6/20/20,250000,1,0000798290,N-CSR,15
Republic of China,J.P.Morgan Chase Bank N.A.,9/20/16,500000,1,0000798290,N-CSR,15
"Republic of
    China",J.P.Morgan Chase Bank N.A.,9/20/16,500000,1,0000798290,N-CSR,15
