"
NotionalAmount","
ExpirationDate","
Counterparty","
Receive(Pay)^","
AnnualPremium","
ImpliedCreditSpread (1)","
Deliverableon Default","
MaximumPotentialAmount ofFuturePaymentsby the FundUnder theContract (2)","
MarketValue",CIK,Reporting Type,Report Year
"
28,000,000","
3/14/2014","
Deutsche Bank AG","
(Pay)",1.7,2.2,"
Republic of Italy","
NA","
374,405",0000772129,N-CSR,10
"
20,000,000","
3/20/2019","
Deutsche Bank AG","
Receive",1.66,2.33,"
Republic of Italy","
20,000,000","
(851,983",0000772129,N-CSR,10
