SWAPCOUNTERPARTY& REFERENCEOBLIGATION,BUY/SELLPROTECTION,NOTIONALAMOUNT(000),INTERESTRATE,TERMINATIONDATE,UNREALIZEDAPPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
"Barclays Bank PLCYum! Brands, Inc.",Buy,$875,1,12/20/18,"$(5,496)",0000093284,N-CSRS,14
"Barclays Bank PLC Quest Diagnostics, Inc.",Buy,795,1,3/20/19,"(12,151)",0000093284,N-CSRS,14
JPMorgan Chase Bank NA CDX.NA.IG.20,Sell,1750,1,6/20/18,24606,0000093284,N-CSRS,14
JPMorgan Chase Bank NA CDX.NA.IG.20,Sell,360,1,6/20/18,2828,0000093284,N-CSRS,14
"Morgan Stanley & Co., LLC* CDX.NA.HY.21",Buy,3975,5,12/20/18,8661,0000093284,N-CSRS,14
"Morgan Stanley & Co., LLC* CDX.NA.IG.21",Sell,875,1,12/20/18,3487,0000093284,N-CSRS,14
