Counterparty,Protection,(000 s),Rate,Date,(Paid),Value,(Depreciation),CIK,Reporting Type,Report Year
Credit Suisse International,Sell,11730000,3.75,2/20/13,281473,281473,,0000850134,N-CSR,10
Credit Suisse International,Sell,5050000,1.0,3/20/15,68570,"(71,562","(2,992",0000850134,N-CSR,10
Credit Suisse International,Sell,9600000,2.7,9/20/10,46013,46013,,0000850134,N-CSR,10
Barclays Bank plc,Sell,7310000,5.0,3/20/15,530990,377364,908354,0000850134,N-CSR,10
Goldman Sachs International,Sell,6220000,5.0,3/20/15,451814,321095,772909,0000850134,N-CSR,10
"Citibank NA, New York",Sell,5090000,5.1,3/20/13,"(453,516","(453,516",,0000850134,N-CSR,10
Morgan Stanley & Co. International Ltd.,Sell,15590000,1.3,3/24/13,"(1,202,080","(1,202,080",,0000850134,N-CSR,10
"Citibank NA, New York",Sell,4800000,1.0,3/20/15,200771,"(143,396",57375,0000850134,N-CSR,10
"JPMorgan Chase Bank NA,
London Branch",Sell,4800000,1.0,3/20/15,190236,"(143,396",46840,0000850134,N-CSR,10
Deutsche Bank AG,Buy,7680000,1.71,12/20/16,"(238,217","(238,217",,0000850134,N-CSR,10
Barclays Bank plc,Buy,6390000,1.76,12/20/14,"(24,592","(24,592",,0000850134,N-CSR,10
"JPMorgan Chase Bank NA,
London Branch",Buy,9590000,1.74,12/20/14,"(28,647","(28,647",,0000850134,N-CSR,10
UBS AG,Sell,13380000,1.0,3/20/15,128420,"(161,238","(32,818",0000850134,N-CSR,10
"Morgan Stanley &
Co. International Ltd.",Sell,3530000,8.75,6/20/10,"(4,397","(4,397",,0000850134,N-CSR,10
