Counterparty,Protection,(000 s),Rate,Date,(Paid),Value,(Depreciation),CIK,Reporting Type,Report Year
"Morgan Stanley &
Co. International Ltd.",Buy,13450000,1,3/20/15,210315,"(140,308",70007,0000850134,N-CSR,10
Barclays Bank plc,Sell,13380000,1,3/20/15,"(2,128","(9,251","(11,379",0000850134,N-CSR,10
Deutsche Bank AG,Sell,13530000,1,3/20/15,"(52,354",34244,"(18,110",0000850134,N-CSR,10
Credit Suisse International,Buy,13380000,1,3/20/15,216939,"(177,240",39699,0000850134,N-CSR,10
