Swap Counterparty,Protection,Amount(000 s),Rate,Date,(Paid),Value,Depreciation,CIK,Reporting Type,Report Year
"Goldman Sachs
International",Buy,25000000,1.0,12/20/16,"(874,393",700268,174125,0000817982,N-CSR,12
"Goldman Sachs
International",Buy,50000000,0.25,12/20/16,"(1,804,216",1241172,563044,0000817982,N-CSR,12
"Goldman Sachs
International",Buy,25000000,0.25,12/20/16,"(1,910,232",1715548,194684,0000817982,N-CSR,12
