Counterparty,Reference Entity/ Obligation,Buy/Sell Protection,(Pay)/ Receive Fixed Rate (%),Termination Date,Notional,Fair,Upfront Payments Paid/ (Received),Unrealized Appreciation/ (Depreciation),CIK,Reporting Type,Report Year
"Citigroup, Inc.",CDX.EM.22 Index,Buy,(1.000,12/20/19,"90,563,000","9,453,278","7,302,355","2,150,923",0000002646,N-CSR,15
Deutsche Bank AG,CDX.EM.22 Index,Buy,(1.000,12/19/19,"12,107,000","1,263,770","976,222","287,548",0000002646,N-CSR,15
