Counterparty,"Reference Entity/
    Obligation",Buy/Sell Protection,"(Pay)/
    Receive Fixed Rate (%)","Termination
    Date",Notional,Fair,"Upfront
    Payments Paid/ (Received)","Unrealized
    Appreciation/ (Depreciation)",CIK,Reporting Type,Report Year
"Citigroup, Inc.",CDX.EM.22Index,Buy,(1.000),12/20/19,"1,761,000","183,819","141,994","41,825",0000002646,N-CSR,15
Deutsche Bank AG,CDX.EM.22Index,Buy,(1.000),12/19/19,"235,000","24,530","18,949","5,581",0000002646,N-CSR,15
