Counterparty,Referenced Entity,Buy/SellProtection,CurrentCreditSpread (7),NotionalAmount(U.S. Dollars),FixedRate,TerminationDate,Value(U.S. Dollars),UnrealizedAppreciation(Depreciation)(U.S. Dollars),CIK,Reporting Type,Report Year
DJ Investment Grade CDX,Sell ,(8) ,0.97,"3,000,000",1.0,12/20/14,"8,000","(23,074",0001390204,N-CSRS,10
DJ High Yield CDX,Sell ,(8) ,5.23,"1,598,000",5.0,6/20/14,"(3,622","383,893",0001390204,N-CSRS,10
