"
SWAP COUNTERPARTY   & REFERENCE   OBLIGATION ","
BUY/SELL   PROTECTION ","
NOTIONAL   AMOUNT   (000) ","
INTEREST   RATE ","
TERMINATION   DATE ","
UNREALIZED   APPRECIATION   (DEPRECIATION) ","
UPFRONT   PAYMENTS   PAID   (RECEIVED) ","
VALUE ","
CREDIT   RATING OF   REFERENCE   OBLIGATION  ",CIK,Reporting Type,Report Year
"
Yum!   Brands, Inc. ","
Buy ","
875 000",1.0,"
12/20/18 ","
(2,188 ","
(15,187 ","
(17,375 ","
BBB ",0000093284,N-Q,15
"
Quest   Diagnostics, Inc. ","
Buy ","
795 000",1.0,"
3/20/19 ","
(26,092 ","
15,258 ","
(10,834 ","
BBB+ ",0000093284,N-Q,15
"
CDX.NA.HY.21 ","
Buy ","
1,262 000",5.0,"
12/20/18 ","
12,583 ","
(104,887 ","
(92,305 ","
NR ",0000093284,N-Q,15
"
CDX.IG.23 ","
Buy ","
3,550 000",1.0,"
12/20/19 ","
(877 ","
(56,790 ","
(57,667 ","
NR ",0000093284,N-Q,15
