Index,ReceiveFixed Rate,Clearinghouse,ExpirationDate,Credit,NotionalAmount(000)2,UnrealizedAppreciation,CIK,Reporting Type,Report Year
"Dow Jones CDX North America High Yield Series 20, Version 1",5.0,Chicago Mercantile,6/20/18,B+,"USD    16,200000","968,279",0000893818,N-CSR,14
"Dow Jones CDX North America High Yield Series 21, Version 1",5.0,Chicago Mercantile,12/20/18,B+,"USD    56,700000","97,000",0000893818,N-CSR,14
