NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
"10,675,000",6/20/16,Goldman Sachs & Co.,Buy,(1.000,CDX.NA.IG.16,"(85,946","88,271","2,325",0000927972,N-Q,12
"6,600,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(196,405","478,885","282,480",0000927972,N-Q,12
"2,600,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(77,227","188,507","111,280",0000927972,N-Q,12
"2,300,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(22,316","120,756","98,440",0000927972,N-Q,12
"3,130,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(46,020","179,984","133,964",0000927972,N-Q,12
"1,500,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(85,800","150,000","64,200",0000927972,N-Q,12
"5,100,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(274,845","493,125","218,280",0000927972,N-Q,12
"1,650,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(29,068","99,688","70,620",0000927972,N-Q,12
"2,000,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(9,400","95,000","85,600",0000927972,N-Q,12
"1,075,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(23,865","69,875","46,010",0000927972,N-Q,12
"3,200,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(23,049","160,009","136,960",0000927972,N-Q,12
"3,250,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(39,659","178,759","139,100",0000927972,N-Q,12
"4,020,000",6/20/16,Credit Suisse Securities LLC,Buy,(0.580,"Marriott International, Inc.","65,279",-,"65,279",0000927972,N-Q,12
"30,500,000",6/20/16,Goldman Sachs & Co.,Buy,(1.000,CDX.NA.IG.16,"(245,558","252,203","6,645",0000927972,N-Q,12
"11,710,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(347,821","849,008","501,187",0000927972,N-Q,12
"5,000,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(286,000","500,000","214,000",0000927972,N-Q,12
