NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
"110,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(3,267","7,975","4,708",0000927972,N-Q,12
"190,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(10,868","19,000","8,132",0000927972,N-Q,12
"300,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(4,411","17,251","12,840",0000927972,N-Q,12
"655,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(19,455","47,489","28,034",0000927972,N-Q,12
"646,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(34,814","62,462","27,648",0000927972,N-Q,12
"75,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(1,665","4,875","3,210",0000927972,N-Q,12
"175,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(3,083","10,573","7,490",0000927972,N-Q,12
"125,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,(587,"5,938","5,351",0000927972,N-Q,12
"225,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(1,620","11,251","9,631",0000927972,N-Q,12
"250,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(2,426","13,126","10,700",0000927972,N-Q,12
"315,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(3,844","17,326","13,482",0000927972,N-Q,12
