Counterparty,NotionalAmount,ExpirationDate,Payments Made by Fund,Payments Received by Fund,UnrealizedAppreciation(Depreciation),PremiumReceived(Paid),Value,CIK,Reporting Type,Report Year
Barclays Bank PLC,98000000,9/02/22,MXN TIIE Mexican Banxico,Fixed 6.000%,"(13,511","(51,278","(64,789",0000916053,N-Q,14
Credit Suisse International,23400000,1/04/21,BRL CETIP Brazilian Interbank Deposit,Fixed 12.055%,"(58,060",39047,"(19,013",0000916053,N-Q,14
Goldman Sachs Bank USA,7000000,1/18/19,Mexico Interbank TIIE,Fixed 5.700%,12187,"(2,003",10184,0000916053,N-Q,14
JP Morgan Chase Bank,36000000,1/18/19,Mexico Interbank TIIE,Fixed 5.700%,64485,"(12,110",52375,0000916053,N-Q,14
JP Morgan Chase Bank,7000000,6/05/23,MXN TIIE Mexican Banxico,Fixed 6.000%,8431,"(17,271","(8,840",0000916053,N-Q,14
UBS AG,8600000,1/04/21,BRL CETIP Brazilian Interbank Deposit,Fixed 11.680%,"(12,051","(34,313","(46,364",0000916053,N-Q,14
UBS AG,10100000,1/04/21,BRL CETIP Brazilian Interbank Deposit,Fixed 12.055%,"(5,568","(2,652","(8,220",0000916053,N-Q,14
UBS AG,250000000,4/26/24,Mexico Interbank TIIE,Fixed 6.300%,"(467,495",386996,"(80,499",0000916053,N-Q,14
