Counterparty (Issuer),Reference Entity,Fixed Rate,Expiration Date,Notional Amount,CIK,Reporting Type,Report Year
Barclays Bank PLC,CDX.HY.17.5Y,(5.00,12/20/2016,8051,0000898745,N-CSRS,12
Goldman Sachs International, CDX.HY.18.5Y,(5.00,06/20/2017,5100,0000898745,N-CSRS,12
