"Reference
    Entity/Obligation","Buy/Sell
    Protection","(Pay)/
    Receive Fixed Rate (%)","Termination
    Date","Notional
Amount(2)","Fair
Value(3)","Unrealized
    Appreciation/ (Depreciation)",CIK,Reporting Type,Report Year
CDX.NA.IG.20,Sell,1.0,06/20/18,"15,000,000","294,729","108,296",0001015965,N-Q,14
CDX.NA.IG.21,Sell,1.0,12/20/18,"20,000,000","357,999","49,728",0001015965,N-Q,14
CDX.NA.IG.21,Sell,1.0,12/20/18,"20,000,000 ","357,999","37,522",0001015965,N-Q,14
