Swap Counterparty,Fund Perspective,(000 s),Value,CIK,Reporting Type,Report Year
Credit Suisse International,Credit Default Buy Protection,"11,280000","751,915",0000820120,N-CSR,09
"JPMorgan Chase Bank NA, NY Branch",Credit Default Buy Protection,"7,520000","501,276",0000820120,N-CSR,09
Morgan Stanley & Co. International Ltd.,Credit Default Buy Protection,"7,520000","501,276",0000820120,N-CSR,09
