Reference Obligations,FundPays,Counterparty,ExpirationDate,NotionalPrincipal(000s),Value(000s),CIK,Reporting Type,Report Year
Republic of South,(1.00,Barclays,Dec-17,"  13,700000",414000,0000885709,N-Q,13
Republic of South,(1.00,Barclays,Dec-17,"8,900000",269000,0000885709,N-Q,13
