Counterparty (Issuer) ,Reference Entity ,Buy/Sell Protection ,(Pay)/Receive Fixed Rate ,Expiration Date ,Notional Amount ,Appreciation (Depreciation) ,CIK,Reporting Type,Report Year
Barclays Bank PLC ,CDX.NA.HY.14 ,Buy ,(5.00)% ,6/20/2015 ,"$ 1,440 ",$ (84) ,0000012601,N-Q,10
Barclays Bank PLC ,CDX.NA.HY.13 ,Buy ,(5.00)% ,12/20/2014 ,1485,   (77) ,0000012601,N-Q,10
