"
NotionalAmount","
ExpirationDate","
Counterparty","
Receive (Pay)","
AnnualPremium","
DeliverableOn Default","
MarketValue",CIK,Reporting Type,Report Year
"
60,000,000","
9/20/2010","
Morgan Stanley ","
Receive ",0.4,"
Credit Swap Eagle",,0000772129,N-CSR,07
"
31,000,000","
3/20/2013","
Morgan Stanley Capital Services Inc.","
Receive ",0.25,"
MS Synthetic 2006-1","
(909,384",0000772129,N-CSR,07
"
28,000,000","
3/20/2015","
Lehman Brothers ","
Receive ",0.88,"
Credit SwapAAA CDO","
(965,041",0000772129,N-CSR,07
