"
NotionalAmount","
ExpirationDate","
Counterparty","
Receive (Pay)","
AnnualPremium","
DeliverableOn Default","
MarketValue",CIK,Reporting Type,Report Year
"
7,000,000","
3/20/2013","
Morgan Stanley Capital Services Inc.","
Receive",0.25,"
MS Synthetic 2006-1","
(205,345",0000772129,N-CSR,07
"
5,000,000","
3/20/2015","
Lehman Brothers","
Receive",0.88,"
AAA CDO","
(172,329",0000772129,N-CSR,07
