Counterparty,"Reference
    Entity/Obligation","Buy/Sell
    Protection","(Pay)/
    Receive Fixed Rate (%)","Termination
    Date","Notional
    Amount(2)","Fair
Value(3)","Upfront
    Payments Paid/ (Received)","Unrealized
    Appreciation/ (Depreciation)",CIK,Reporting Type,Report Year
Barclays Bank PLC,Bolivarian Republic of Venezuela,Buy,(5.000,06/20/15," 
                                         100,000","10,375","12,430","(2,055",0001039001,N-Q,14
BNP Paribas Bank,Bolivarian Republic of Venezuela,Buy,(5.000,09/20/19,"100,000","32,876","30,779","2,097",0001039001,N-Q,14
HSBC,Bolivarian Republic of Venezuela,Buy,(5.000,09/20/19,"100,000","32,876","31,001","1,875",0001039001,N-Q,14
JPMorgan Chase & Co.,Bolivarian Republic of Venezuela,Buy,(5.000,06/20/15,"100,000","10,375","11,432","(1,057",0001039001,N-Q,14
JPMorgan Chase & Co.,Bolivarian Republic of Venezuela,Buy,(5.000,09/20/19,"100,000","32,876","29,664","3,212",0001039001,N-Q,14
