Counterparty, ReferenceEntity, ExpirationDate, Pay FixedRate (%), NotionalCurrency, NotionalAmount ($), UnrealizedAppreciation ($), UnrealizedDepreciation ($),CIK,Reporting Type,Report Year
Morgan Stanley," Markit CDX North America High Yield Index, Series 26",06/20/2021,5.0,"3,167,000","(66,921",,,0001352280,N-CSR,16
Morgan Stanley," Markit CDX North America Investment
Grade Index, Series 26",06/20/2021,1.0,"20,500,000","(114,892",,,0001352280,N-CSR,16
