"
Counterparty", ReferenceEntity, ExpirationDate, Pay FixedRate (%), NotionalCurrency, NotionalAmount,CIK,Reporting Type,Report Year
 Morgan Stanley," Markit CDX North America High Yield Index, Series 26", 06/20/2021,5, USD,10647000,0001352280,N-CSR,16
 Morgan Stanley," Markit CDX North America Investment
Grade Index, Series 26", 06/20/2021,1, USD,25000000,0001352280,N-CSR,16
