"Counterparty
  ","Reference
  Entity/Obligation","Buy/Sell
  Protection (2)","(Pay)/
  Receive
  Fixed
  Rate (%)","Termination
  Date","Implied
  Credit
  Spread
  At 03/31/09
  (%) (3)","Notional
  Amount (4)","Market
  Value (5)","Upfront
  Premium
  Paid/
  (Received)","Unrealized
  Appreciation/
  (Depreciation)",CIK,Reporting Type,Report Year
Deutsche Bank AG,ABX.HE.AAA.06-2 Index,Sell,0.11,05/25/46,46.423,"260,000","(181,025)","(12,570)","(168,455)",0001039001,N-Q,09
Deutsche Bank AG,ABX.HE.AAA.06-2 Index,Sell,0.11,05/25/46,46.423,"260,000","(181,025)","(12,567)","(168,458)",0001039001,N-Q,09
"Morgan Stanley Capital
  Services Inc.",ABX.HE.AAA.06-2 Index,Sell,0.11,05/25/46,46.423,"380,000","(264,575)","(114,548)","(150,027)",0001039001,N-Q,09
