COUNTERPARTY & REFRENCE OBLIGATION,PROTECTION,Amount(000 s),RATE,DATE,APPRECIATION,CIK,Reporting Type,Report Year
"Goldman Sachs Credit
Partners, L.P. Texas
Competitive Electric
Holdings Co. LLC",Sell,3000,5,"March 20, 2012",5243,0000854904,N-Q,10
"Goldman Sachs Credit
Partners, L.P. Calpine
Corp.",Sell,3000,5,"March 20, 2011",147640,0000854904,N-Q,10
