Underlying Instrument,Counterparty,Amount($),Rate(%),Date,Value($),CIK,Reporting Type,Report Year
"North America High Yield CDX Indices, Series 12",JPMorgan,"8,730",5.0,06/20/14,"1,379",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",JPMorgan,"5,961",5.0,06/20/14,942,0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",Credit Suisse First Boston,"6,045",5.0,06/20/14,955,0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",Credit Suisse First Boston,"8,730",5.0,06/20/14,"1,379",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",Credit Suisse First Boston,"6,227",5.0,06/20/14,984,0000883939,N-Q,09
Barclays 23 MM CDX Indices,Barclays Bank PLC,"6,320",5.0,06/20/14,998,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,"5,605",5.0,06/20/14,(252,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",JPMorgan,"6,005",5.0,06/20/14,(270,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,675,5.0,06/20/14,(30,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,335,5.0,06/20/14,(15,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,"6,410",5.0,06/20/14,(288,0000883939,N-Q,09
