"
Counterparty","
ReferenceEntity","
Buy/SellProtection","
NotionalAmount(000somitted)","
Pay/ReceiveAnnualFixedRate","
TerminationDate","
NetUnrealizedAppreciation(Depreciation)",CIK,Reporting Type,Report Year
"
LehmanBrothers, Inc. Turkey","
(Republic of)","
Buy","
843000",1.45,"
7/20/12","
3,239",0001394396,N-CSR,07
"
LehmanBrothers, Inc.","
CDX.EM.8*","
Buy","
1,100000",1.75,"
12/20/12","
(11,633",0001394396,N-CSR,07
"
JP Morgan","
Greece","
Buy","
4,000000",0.13,"
9/20/17","
10,509",0001394396,N-CSR,07
