Counterparty,Notionalamount ,Terminationdates,CIK,Reporting Type,Report Year
Credit Suisse International,"USD    2,000,000",02/20/10,0000944684,N-CSR,09
Deutsche Bank AG,"USD    3,500,000",08/20/09,0000944684,N-CSR,09
