"
Counterparty (Issuer) ","
Reference Entity ","
Receive Fixed Rate ","
Expiration Date ","
Notional Amount ","
Market Value ","
Premiums Paid/(Received) ","
Appreciation/ (Depreciation) ",CIK,Reporting Type,Report Year
"
Barclays Bank PLC ","
CDX.NA.HY.17 ","
(5.00)% ","
12/20/2016 $ ","
5,335 $ ","
86 ","
$ 282 ","
$ (196) ",0000012601,N-Q,12
"
Barclays Bank PLC ","
CMBX.NA.AAA.1 ","
(0.10)% ","
10/12/2052 ","
1,250 ","
38 ","
69 ","
(31) ",0000012601,N-Q,12
