"Swap
 Counterparty","Fund
 Receives","Referenced
 Index","Termination
 Date","Notional
 Amount","Market
 Value","Upfront
 Payments
 Received**","Unrealized
 Appreciation/
 (Depreciation)","Credit
 Default
 Swap
 Agreements
 Payable at
 Fair Value",***,CIK,Reporting Type,Report Year
"Credit
 Suisse",.35%,"Markit CMBX.
 NA.AAA.4",2/17/2051,"500,000","450,000","40,732","(9,267","49,999",,0000911507,N-CSR,12
"Credit
 Suisse",.07%,"Markit CMBX.
 NA.AAA.2",3/15/2049,"300,000","280,875","16,846","(2,280","19,126",,0000911507,N-CSR,12
"Goldman
 Sachs",.50%,"Markit CMBX.
 NA.AM.4",2/17/2051,"100,000","77,250","18,928","(3,822","22,750",,0000911507,N-CSR,12
"Goldman
 Sachs",.08%,"Markit CMBX.
 NA.AAA.3",12/13/2049,"100,000","90,375","8,053","(1,572","9,625",,0000911507,N-CSR,12
"J.P.
 Morgan",.10%,"Markit CMBX.
 NA.AAA.1",10/12/2052,"200,000","191,375","8,493",(132,"8,625",,0000911507,N-CSR,12
"J.P.
 Morgan",.10%,"Markit CMBX.
 NA.AAA.1",10/12/2052,"650,000","621,969","24,517","(3,514","28,031",,0000911507,N-CSR,12
"Morgan
 Stanley",.50%,"Markit CMBX.
 NA.AM.4",2/17/2051,"200,000","154,500","37,363","(8,137","45,500",,0000911507,N-CSR,12
"Morgan
 Stanley",.50%,"Markit CMBX.
 NA.AM.4",2/17/2051,"200,000","154,500","38,150","(7,350","45,500",,0000911507,N-CSR,12
"Morgan
 Stanley",.10%,"Markit CMBX.
 NA.AAA.1",10/12/2052,"650,000","621,969","24,344","(3,687","28,032",,0000911507,N-CSR,12
"Morgan
 Stanley",.10%,"Markit CMBX.
 NA.AAA.1",10/12/2052,"650,000","621,969","23,536","(4,496","28,031",,0000911507,N-CSR,12
"Morgan
 Stanley",.08%,"Markit CMBX.
 NA.AAA.3",12/13/2049,"500,000","451,875","43,082","(5,043","48,125",,0000911507,N-CSR,12
"Morgan
 Stanley",.08%,"Markit CMBX.
 NA.AAA.3",12/13/2049,"200,000","180,750","19,486",236,"19,250",,0000911507,N-CSR,12
"UBS
 AG",.50%,"Markit CMBX.
 NA.AM.4",2/17/2051,"100,000","77,250","19,052","(3,698","22,750",,0000911507,N-CSR,12
"UBS
 AG",.08%,"Markit CMBX.
 NA.AAA.3",12/31/2049,"200,000","180,750","17,232","(2,018","19,250",,0000911507,N-CSR,12
"UBS
 AG",.07%,"Markit CMBX.
 NA.AAA.2",3/15/2049,"300,000","280,875","16,845","(2,280","19,125",,0000911507,N-CSR,12
"UBS
 AG",.07%,"Markit CMBX.
 NA.AAA.2",3/15/2049,"500,000","468,125","28,076","(3,799","31,875",,0000911507,N-CSR,12
