"
Underlying Instrument",Counterparty,"
MaturityDate","
ImpliedCreditSpread atDecember 31,2016 (b)","
NotionalAmount (c)","
FixedDealReceiveRate",Value,"
PremiumsPaid/(Received)","
UnrealizedAppreciation",CIK,Reporting Type,Report Year
"
CDX North America High Yield Index Swap Agreement; Series 27  ","
Goldman Sachs",12/20/21,3.53,"44,000,000",5.0,"2,801,333","1,415,700","1,385,633",0001068663,N-CSR,17
"
CDX North America Investment Grade 5 Year Series 27 Index  ","
GoldmanSachs",12/20/21,0.67,"8,000,000",1.0,"123,756","102,454","21,303",0001068663,N-CSR,17
