Underlying Instrument,Broker (Exchange),NotionalAmount,FixedRate,ExpirationDate,ImpliedCreditSpread*,Value,UnrealizedAppreciation(Depreciation),CIK,Reporting Type,Report Year
CDX.NA.HY.20,JPMorgan (CME),"$  76,000,000",5.0,06/20/18,3.592,"$(4,444,539)","$(648,646)",0000883939,N-CSRS,13
CDX.NA.HY.20,JPMorgan (CME),"129,500,000",5.0,06/20/18,3.592,"7,573,260","850,740",0000883939,N-CSRS,13
