Swap Counterparty,Portfolio Perspective,Amount (000 s),Value,CIK,Reporting Type,Report Year
Barclays Bank plc,Credit Default Sell Protection,460000,"2,342",0000355411,N-CSR,09
Credit Suisse International,Credit Default Sell Protection,230000,"1,171",0000355411,N-CSR,09
